path,structuremode,solvent,charge,tautomer,conformer,name
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c6",gas,chloroform,0,0,6,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c7",gas,chloroform,0,0,7,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c8",gas,chloroform,0,0,8,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
"flexisol/gas/chloroform/octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane_chrg0_t0_c9",gas,chloroform,0,0,9,"octahydro-1,3,5,7-tetranitro-1,3,5,7-tetraazacyclooctane"
flexisol/gas/dmf/piroxicam_chrg0_t0_c0,gas,dmf,0,0,0,piroxicam
flexisol/gas/dmf/piroxicam_chrg0_t0_c1,gas,dmf,0,0,1,piroxicam
flexisol/gas/ethanol/atropine_chrg0_t0_c0,gas,ethanol,0,0,0,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c1,gas,ethanol,0,0,1,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c10,gas,ethanol,0,0,10,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c11,gas,ethanol,0,0,11,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c12,gas,ethanol,0,0,12,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c13,gas,ethanol,0,0,13,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c2,gas,ethanol,0,0,2,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c3,gas,ethanol,0,0,3,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c4,gas,ethanol,0,0,4,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c5,gas,ethanol,0,0,5,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c6,gas,ethanol,0,0,6,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c7,gas,ethanol,0,0,7,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c8,gas,ethanol,0,0,8,atropine
flexisol/gas/ethanol/atropine_chrg0_t0_c9,gas,ethanol,0,0,9,atropine
flexisol/gas/ethanol/betulin_chrg0_t0_c0,gas,ethanol,0,0,0,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c1,gas,ethanol,0,0,1,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c10,gas,ethanol,0,0,10,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c11,gas,ethanol,0,0,11,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c12,gas,ethanol,0,0,12,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c13,gas,ethanol,0,0,13,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c14,gas,ethanol,0,0,14,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c15,gas,ethanol,0,0,15,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c16,gas,ethanol,0,0,16,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c17,gas,ethanol,0,0,17,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c2,gas,ethanol,0,0,2,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c3,gas,ethanol,0,0,3,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c4,gas,ethanol,0,0,4,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c5,gas,ethanol,0,0,5,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c6,gas,ethanol,0,0,6,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c7,gas,ethanol,0,0,7,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c8,gas,ethanol,0,0,8,betulin
flexisol/gas/ethanol/betulin_chrg0_t0_c9,gas,ethanol,0,0,9,betulin
flexisol/gas/ethanol/celecoxib_chrg0_t0_c0,gas,ethanol,0,0,0,celecoxib
flexisol/gas/ethanol/celecoxib_chrg0_t0_c1,gas,ethanol,0,0,1,celecoxib
flexisol/gas/ethanol/celecoxib_chrg0_t0_c2,gas,ethanol,0,0,2,celecoxib
flexisol/gas/ethanol/celecoxib_chrg0_t0_c3,gas,ethanol,0,0,3,celecoxib
flexisol/gas/ethanol/celecoxib_chrg0_t0_c4,gas,ethanol,0,0,4,celecoxib
flexisol/gas/ethanol/celecoxib_chrg0_t0_c5,gas,ethanol,0,0,5,celecoxib
flexisol/gas/ethanol/chrysene_chrg0_t0_c0,gas,ethanol,0,0,0,chrysene
flexisol/gas/ethanol/gallicacid_chrg0_t0_c0,gas,ethanol,0,0,0,gallicacid
flexisol/gas/ethanol/gallicacid_chrg0_t0_c1,gas,ethanol,0,0,1,gallicacid
flexisol/gas/ethanol/gallicacid_chrg0_t0_c2,gas,ethanol,0,0,2,gallicacid
flexisol/gas/ethanol/perylene_chrg0_t0_c0,gas,ethanol,0,0,0,perylene
flexisol/gas/ethanol/pimozide_chrg0_t0_c0,gas,ethanol,0,0,0,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c1,gas,ethanol,0,0,1,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c10,gas,ethanol,0,0,10,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c11,gas,ethanol,0,0,11,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c12,gas,ethanol,0,0,12,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c13,gas,ethanol,0,0,13,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c14,gas,ethanol,0,0,14,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c2,gas,ethanol,0,0,2,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c3,gas,ethanol,0,0,3,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c4,gas,ethanol,0,0,4,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c5,gas,ethanol,0,0,5,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c6,gas,ethanol,0,0,6,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c7,gas,ethanol,0,0,7,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c8,gas,ethanol,0,0,8,pimozide
flexisol/gas/ethanol/pimozide_chrg0_t0_c9,gas,ethanol,0,0,9,pimozide
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c0,gas,ethanol,0,0,0,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c1,gas,ethanol,0,0,1,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c2,gas,ethanol,0,0,2,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c3,gas,ethanol,0,0,3,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c4,gas,ethanol,0,0,4,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c5,gas,ethanol,0,0,5,pircropodophyllin
flexisol/gas/ethanol/pircropodophyllin_chrg0_t0_c6,gas,ethanol,0,0,6,pircropodophyllin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c0,gas,ethanol,0,0,0,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c1,gas,ethanol,0,0,1,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c2,gas,ethanol,0,0,2,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c3,gas,ethanol,0,0,3,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c4,gas,ethanol,0,0,4,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c5,gas,ethanol,0,0,5,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c6,gas,ethanol,0,0,6,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c7,gas,ethanol,0,0,7,podophyllotoxin
flexisol/gas/ethanol/podophyllotoxin_chrg0_t0_c8,gas,ethanol,0,0,8,podophyllotoxin
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c0,gas,ethanol,0,0,0,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c1,gas,ethanol,0,0,1,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c2,gas,ethanol,0,0,2,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c3,gas,ethanol,0,0,3,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c4,gas,ethanol,0,0,4,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c5,gas,ethanol,0,0,5,sucinnicacid
flexisol/gas/ethanol/sucinnicacid_chrg0_t0_c6,gas,ethanol,0,0,6,sucinnicacid
flexisol/gas/ethanol/temazepam_chrg0_t0_c0,gas,ethanol,0,0,0,temazepam
flexisol/gas/ethanol/trochol_chrg0_t0_c0,gas,ethanol,0,0,0,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c1,gas,ethanol,0,0,1,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c10,gas,ethanol,0,0,10,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c11,gas,ethanol,0,0,11,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c12,gas,ethanol,0,0,12,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c13,gas,ethanol,0,0,13,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c14,gas,ethanol,0,0,14,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c15,gas,ethanol,0,0,15,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c16,gas,ethanol,0,0,16,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c17,gas,ethanol,0,0,17,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c18,gas,ethanol,0,0,18,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c19,gas,ethanol,0,0,19,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c2,gas,ethanol,0,0,2,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c20,gas,ethanol,0,0,20,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c21,gas,ethanol,0,0,21,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c22,gas,ethanol,0,0,22,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c23,gas,ethanol,0,0,23,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c24,gas,ethanol,0,0,24,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c3,gas,ethanol,0,0,3,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c4,gas,ethanol,0,0,4,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c5,gas,ethanol,0,0,5,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c6,gas,ethanol,0,0,6,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c7,gas,ethanol,0,0,7,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c8,gas,ethanol,0,0,8,trochol
flexisol/gas/ethanol/trochol_chrg0_t0_c9,gas,ethanol,0,0,9,trochol
flexisol/gas/ethanol/xylitol_chrg0_t0_c0,gas,ethanol,0,0,0,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c1,gas,ethanol,0,0,1,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c2,gas,ethanol,0,0,2,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c3,gas,ethanol,0,0,3,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c4,gas,ethanol,0,0,4,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c5,gas,ethanol,0,0,5,xylitol
flexisol/gas/ethanol/xylitol_chrg0_t0_c6,gas,ethanol,0,0,6,xylitol
flexisol/gas/hexadecane/alachlor_chrg0_t0_c0,gas,hexadecane,0,0,0,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c1,gas,hexadecane,0,0,1,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c10,gas,hexadecane,0,0,10,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c11,gas,hexadecane,0,0,11,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c12,gas,hexadecane,0,0,12,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c13,gas,hexadecane,0,0,13,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c14,gas,hexadecane,0,0,14,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c15,gas,hexadecane,0,0,15,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c16,gas,hexadecane,0,0,16,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c17,gas,hexadecane,0,0,17,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c18,gas,hexadecane,0,0,18,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c19,gas,hexadecane,0,0,19,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c2,gas,hexadecane,0,0,2,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c20,gas,hexadecane,0,0,20,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c21,gas,hexadecane,0,0,21,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c22,gas,hexadecane,0,0,22,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c23,gas,hexadecane,0,0,23,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c3,gas,hexadecane,0,0,3,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c4,gas,hexadecane,0,0,4,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c5,gas,hexadecane,0,0,5,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c6,gas,hexadecane,0,0,6,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c7,gas,hexadecane,0,0,7,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c8,gas,hexadecane,0,0,8,alachlor
flexisol/gas/hexadecane/alachlor_chrg0_t0_c9,gas,hexadecane,0,0,9,alachlor
flexisol/gas/hexadecane/bifenox_chrg0_t0_c0,gas,hexadecane,0,0,0,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c1,gas,hexadecane,0,0,1,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c10,gas,hexadecane,0,0,10,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c11,gas,hexadecane,0,0,11,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c12,gas,hexadecane,0,0,12,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c13,gas,hexadecane,0,0,13,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c14,gas,hexadecane,0,0,14,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c15,gas,hexadecane,0,0,15,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c2,gas,hexadecane,0,0,2,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c3,gas,hexadecane,0,0,3,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c4,gas,hexadecane,0,0,4,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c5,gas,hexadecane,0,0,5,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c6,gas,hexadecane,0,0,6,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c7,gas,hexadecane,0,0,7,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c8,gas,hexadecane,0,0,8,bifenox
flexisol/gas/hexadecane/bifenox_chrg0_t0_c9,gas,hexadecane,0,0,9,bifenox
flexisol/gas/hexadecane/bromacil_chrg0_t0_c0,gas,hexadecane,0,0,0,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c1,gas,hexadecane,0,0,1,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c2,gas,hexadecane,0,0,2,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c3,gas,hexadecane,0,0,3,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c4,gas,hexadecane,0,0,4,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c5,gas,hexadecane,0,0,5,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c6,gas,hexadecane,0,0,6,bromacil
flexisol/gas/hexadecane/bromacil_chrg0_t0_c7,gas,hexadecane,0,0,7,bromacil
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c0,gas,hexadecane,0,0,0,chlorobenzilate
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c1,gas,hexadecane,0,0,1,chlorobenzilate
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c2,gas,hexadecane,0,0,2,chlorobenzilate
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c3,gas,hexadecane,0,0,3,chlorobenzilate
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c4,gas,hexadecane,0,0,4,chlorobenzilate
flexisol/gas/hexadecane/chlorobenzilate_chrg0_t0_c5,gas,hexadecane,0,0,5,chlorobenzilate
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c0,gas,hexadecane,0,0,0,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c1,gas,hexadecane,0,0,1,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c10,gas,hexadecane,0,0,10,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c11,gas,hexadecane,0,0,11,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c12,gas,hexadecane,0,0,12,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c13,gas,hexadecane,0,0,13,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c14,gas,hexadecane,0,0,14,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c15,gas,hexadecane,0,0,15,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c16,gas,hexadecane,0,0,16,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c17,gas,hexadecane,0,0,17,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c2,gas,hexadecane,0,0,2,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c3,gas,hexadecane,0,0,3,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c4,gas,hexadecane,0,0,4,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c5,gas,hexadecane,0,0,5,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c6,gas,hexadecane,0,0,6,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c7,gas,hexadecane,0,0,7,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c8,gas,hexadecane,0,0,8,chlorpyrifos
flexisol/gas/hexadecane/chlorpyrifos_chrg0_t0_c9,gas,hexadecane,0,0,9,chlorpyrifos
flexisol/gas/hexadecane/clofentezine_chrg0_t0_c0,gas,hexadecane,0,0,0,clofentezine
flexisol/gas/hexadecane/clofentezine_chrg0_t0_c1,gas,hexadecane,0,0,1,clofentezine
flexisol/gas/hexadecane/clothianidin_chrg0_t0_c0,gas,hexadecane,0,0,0,clothianidin
